"country","population","life_expectancy","health_spend_pct_gdp","health_spend_per_person","medical_doctors_per_1000","maternal_mortality_rate","children_per_woman","child_mortality_rate","six_vacc_rate","continent","sub_region"
"Afghanistan",29200000,59.9,0.0758,44.5,0.236,500,5.82,88,0.62,"Asia","Southern Asia"
"Albania",2950000,77.6,0.0655,577,1.23,21,1.65,13.3,0.99,"Europe","Southern Europe"
"Algeria",36000000,76.3,0.0417,330,1.21,92,2.89,27.4,0.95,"Africa","Northern Africa"
"Andorra",84500,82.3,0.0752,3260,4,,,4.18,,"Europe","Southern Europe"
"Angola",23400000,59.9,0.0285,168,,530,6.16,120,0.49,"Africa","Middle Africa"
"Antigua and Barbuda",88000,76.6,0.0603,991,,,2.13,9.59,,"Americas","Caribbean"
"Argentina",40900000,75.8,0.081,1290,3.21,76,2.37,14.4,0.94,"Americas","South America"
"Armenia",2880000,74,0.044,239,2.84,31,1.55,18.5,0.48,"Asia","Western Asia"
"Australia",22200000,82,0.0873,3440,3.34,5,1.93,4.77,,"Oceania","Australia and New Zealand"
"Austria",8410000,80.6,0.11,4390,4.8,3,1.44,4.33,,"Europe","Western Europe"
"Azerbaijan",9030000,69.3,0.0588,579,3.66,27,1.96,37.6,,"Asia","Western Asia"
"Bahamas",355000,73.4,0.0789,1990,,38,1.87,12.9,,"Americas","Caribbean"
"Bahrain",1240000,78.2,0.0497,1080,0.949,24,2.14,8.53,,"Asia","Western Asia"
"Bangladesh",148000000,69.5,0.0352,23.5,0.363,200,2.28,49.1,0.88,"Asia","Southern Asia"
"Barbados",282000,76.7,0.0797,1520,1.81,83,1.78,14.6,,"Americas","Caribbean"
"Belarus",9420000,70.4,0.0561,786,3.25,2,1.54,5.52,,"Europe","Eastern Europe"
"Belgium",10900000,80.1,0.107,4030,2.91,7,1.81,4.46,,"Europe","Western Europe"
"Belize",322000,73.6,0.052,378,0.828,60,2.72,18.9,0.96,"Americas","Central America"
"Benin",9200000,61.4,0.041,65,0.0558,370,5.36,111,0.68,"Africa","Western Africa"
"Bhutan",686000,71.6,0.052,275,0.023,140,2.38,42.5,,"Asia","Southern Asia"
"Bolivia",10000000,70.8,0.0484,233,0.439,230,3.2,41.1,0.88,"Americas","South America"
"Bosnia and Herzegovina",3710000,76.3,0.111,972,1.8,9,1.31,7.18,0.83,"Europe","Southern Europe"
"Botswana",1990000,60.2,0.083,1150,0.412,210,2.88,49.8,,"Africa","Southern Africa"
